Mobility_Surrogate_Key,Metro_Area,Province,Subregion,Retail_And_Recreation,Grocery_And_Pharmacy,Parks,Transit_Stations,Workplaces,Residential
147,,Ontario,Regional Municipality of Durham,-14.0,-4.0,182.0,-21.0,-3.0,2.0
148,,Ontario,Regional Municipality of Durham,-9.0,-9.0,161.0,-23.0,-5.0,0.0
149,,Ontario,Regional Municipality of Durham,-10.0,-1.0,58.0,-53.0,-48.0,13.0
150,,Ontario,Regional Municipality of Durham,-6.0,4.0,90.0,-50.0,-45.0,13.0
151,,Ontario,Regional Municipality of Durham,-5.0,5.0,69.0,-51.0,-45.0,13.0
152,,Ontario,Regional Municipality of Durham,-4.0,14.0,95.0,-49.0,-46.0,12.0
153,,Ontario,Regional Municipality of Durham,-8.0,8.0,99.0,-42.0,-46.0,10.0
154,,Ontario,Regional Municipality of Durham,-15.0,-2.0,189.0,-19.0,-6.0,0.0
155,,Ontario,Regional Municipality of Durham,-16.0,-8.0,36.0,-27.0,-13.0,3.0
156,,Ontario,Regional Municipality of Durham,-21.0,-21.0,131.0,-56.0,-75.0,18.0
157,,Ontario,Regional Municipality of Durham,-10.0,5.0,15.0,-50.0,-48.0,14.0
158,,Ontario,Regional Municipality of Durham,-2.0,6.0,91.0,-49.0,-45.0,12.0
159,,Ontario,Regional Municipality of Durham,-5.0,8.0,105.0,-47.0,-45.0,11.0
160,,Ontario,Regional Municipality of Durham,-12.0,0.0,86.0,-44.0,-44.0,11.0
161,,Ontario,Regional Municipality of Durham,-14.0,-2.0,200.0,-17.0,-5.0,1.0
162,,Ontario,Regional Municipality of Durham,-8.0,-8.0,151.0,-19.0,-7.0,0.0
163,,Ontario,Regional Municipality of Durham,-6.0,1.0,87.0,-50.0,-46.0,12.0
164,,Ontario,Regional Municipality of Durham,-7.0,3.0,69.0,-50.0,-45.0,12.0
165,,Ontario,Regional Municipality of Durham,-3.0,3.0,92.0,-50.0,-44.0,11.0
166,,Ontario,Regional Municipality of Durham,-5.0,9.0,94.0,-49.0,-44.0,11.0
167,,Ontario,Regional Municipality of Durham,-10.0,1.0,85.0,-45.0,-44.0,10.0
168,,Ontario,Regional Municipality of Durham,-12.0,-3.0,183.0,-21.0,-5.0,0.0
169,,Ontario,Regional Municipality of Durham,-9.0,-9.0,85.0,-21.0,-7.0,1.0
170,,Ontario,Regional Municipality of Durham,-10.0,-3.0,92.0,-53.0,-47.0,12.0
171,,Ontario,Regional Municipality of Durham,-6.0,2.0,92.0,-50.0,-44.0,12.0
172,,Ontario,Regional Municipality of Durham,-5.0,2.0,92.0,-50.0,-43.0,11.0
173,,Ontario,Regional Municipality of Durham,-3.0,10.0,92.0,-46.0,-43.0,11.0
174,,Ontario,Regional Municipality of Durham,-12.0,-2.0,92.0,-42.0,-43.0,10.0
175,,Ontario,Regional Municipality of Durham,-14.0,-2.0,92.0,-15.0,-5.0,1.0
176,,Ontario,Regional Municipality of Durham,-9.0,-7.0,92.0,-11.0,-5.0,-1.0
177,,Ontario,Regional Municipality of Durham,-6.0,1.0,92.0,-50.0,-45.0,11.0
178,,Ontario,Regional Municipality of Durham,-6.0,3.0,92.0,-49.0,-44.0,11.0
179,,Ontario,Regional Municipality of Durham,-6.0,2.0,92.0,-48.0,-42.0,11.0
180,,Ontario,Regional Municipality of Durham,-7.0,9.0,92.0,-47.0,-43.0,12.0
181,,Ontario,Regional Municipality of Durham,-12.0,1.0,92.0,-40.0,-41.0,10.0
182,,Ontario,Regional Municipality of Durham,-15.0,1.0,92.0,-12.0,-5.0,2.0
183,,Ontario,Regional Municipality of Durham,-5.0,-3.0,92.0,-7.0,-2.0,-1.0
184,,Ontario,Regional Municipality of Durham,-3.0,4.0,92.0,-44.0,-44.0,11.0
185,,Ontario,Regional Municipality of Durham,-4.0,5.0,92.0,-44.0,-44.0,11.0
186,,Ontario,Regional Municipality of Durham,-5.0,4.0,92.0,-52.0,-42.0,12.0
187,,Ontario,Regional Municipality of Durham,-4.0,6.0,92.0,-48.0,-43.0,10.0
188,,Ontario,Regional Municipality of Durham,-8.0,3.0,92.0,-42.0,-43.0,9.0
189,,Ontario,Regional Municipality of Durham,-14.0,0.0,92.0,-14.0,-7.0,0.0
190,,Ontario,Regional Municipality of Durham,-1.0,1.0,92.0,-13.0,-6.0,-2.0
191,,Ontario,Regional Municipality of Durham,-45.0,-44.0,92.0,-63.0,-81.0,20.0
192,,Ontario,Regional Municipality of Durham,-2.0,15.0,92.0,-48.0,-45.0,12.0
193,,Ontario,Regional Municipality of Durham,-6.0,2.0,92.0,-52.0,-41.0,12.0
194,,Ontario,Regional Municipality of Durham,-7.0,7.0,92.0,-50.0,-42.0,12.0
195,,Ontario,Regional Municipality of Durham,-11.0,-1.0,56.0,-45.0,-39.0,10.0
196,,Ontario,Regional Municipality of Durham,-9.0,3.0,144.0,-14.0,-1.0,2.0
197,,Ontario,Regional Municipality of Durham,-7.0,1.0,62.0,-18.0,-5.0,3.0
198,,Ontario,Regional Municipality of Durham,-7.0,2.0,67.0,-52.0,-39.0,11.0
199,,Ontario,Regional Municipality of Durham,-6.0,2.0,54.0,-51.0,-40.0,12.0
200,,Ontario,Regional Municipality of Durham,-8.0,-3.0,58.0,-51.0,-38.0,11.0
201,,Ontario,Regional Municipality of Durham,-10.0,1.0,62.0,-49.0,-39.0,11.0
202,,Ontario,Regional Municipality of Durham,-12.0,-4.0,38.0,-42.0,-37.0,10.0
203,,Ontario,Regional Municipality of Durham,-10.0,1.0,110.0,-16.0,-2.0,3.0
204,,Ontario,Regional Municipality of Durham,-5.0,0.0,101.0,-14.0,-3.0,2.0
205,,Ontario,Regional Municipality of Durham,-11.0,-2.0,55.0,-52.0,-40.0,12.0
206,,Ontario,Regional Municipality of Durham,-11.0,1.0,45.0,-51.0,-40.0,12.0
207,,Ontario,Regional Municipality of Durham,-10.0,1.0,49.0,-53.0,-36.0,12.0
208,,Ontario,Regional Municipality of Durham,-13.0,1.0,42.0,-52.0,-37.0,12.0
209,,Ontario,Regional Municipality of Durham,-15.0,-3.0,44.0,-47.0,-35.0,11.0
210,,Ontario,Regional Municipality of Durham,-11.0,2.0,131.0,-22.0,1.0,2.0
211,,Ontario,Regional Municipality of Durham,-6.0,-2.0,105.0,-20.0,-1.0,2.0
212,,Ontario,Regional Municipality of Durham,-13.0,0.0,52.0,-53.0,-37.0,12.0
213,,Ontario,Regional Municipality of Durham,-12.0,3.0,24.0,-51.0,-39.0,12.0
214,,Ontario,Regional Municipality of Durham,-13.0,-1.0,-9.0,-53.0,-37.0,13.0
215,,Ontario,Regional Municipality of Durham,-12.0,7.0,24.0,-52.0,-36.0,12.0
216,,Ontario,Regional Municipality of Durham,-17.0,-1.0,12.0,-50.0,-34.0,12.0
217,,Ontario,Regional Municipality of Durham,-13.0,2.0,94.0,-25.0,-2.0,4.0
218,,Ontario,Regional Municipality of Durham,-14.0,-2.0,-4.0,-28.0,-7.0,5.0
219,,Ontario,Regional Municipality of Durham,-14.0,1.0,36.0,-55.0,-37.0,12.0
220,,Ontario,Regional Municipality of Durham,-13.0,4.0,23.0,-54.0,-39.0,12.0
221,,Ontario,Regional Municipality of Durham,-14.0,3.0,-5.0,-58.0,-36.0,13.0
222,,Ontario,Regional Municipality of Durham,-11.0,13.0,20.0,-54.0,-36.0,12.0
223,,Ontario,Regional Municipality of Durham,-13.0,11.0,33.0,-47.0,-35.0,11.0
224,,Ontario,Regional Municipality of Durham,-16.0,9.0,94.0,-28.0,-3.0,4.0
225,,Ontario,Regional Municipality of Durham,-14.0,5.0,74.0,-31.0,-6.0,3.0
226,,Ontario,Regional Municipality of Durham,-58.0,-52.0,61.0,-75.0,-81.0,23.0
227,,Ontario,Regional Municipality of Durham,-13.0,5.0,35.0,-53.0,-39.0,12.0
228,,Ontario,Regional Municipality of Durham,-13.0,1.0,32.0,-57.0,-35.0,13.0
229,,Ontario,Regional Municipality of Durham,-18.0,-2.0,-29.0,-58.0,-37.0,15.0
230,,Ontario,Regional Municipality of Durham,-15.0,0.0,17.0,-51.0,-33.0,12.0
231,,Ontario,Regional Municipality of Durham,-11.0,4.0,101.0,-26.0,0.0,5.0
232,,Ontario,Regional Municipality of Durham,-13.0,-3.0,31.0,-31.0,-6.0,5.0
233,,Ontario,Regional Municipality of Durham,-18.0,-4.0,-14.0,-59.0,-37.0,14.0
234,,Ontario,Regional Municipality of Durham,-12.0,2.0,16.0,-55.0,-38.0,13.0
235,,Ontario,Regional Municipality of Durham,-13.0,0.0,-2.0,-59.0,-35.0,14.0
236,,Ontario,Regional Municipality of Durham,-14.0,4.0,5.0,-56.0,-35.0,14.0
237,,Ontario,Regional Municipality of Durham,-14.0,-3.0,49.0,-51.0,-32.0,12.0
238,,Ontario,Regional Municipality of Durham,-11.0,4.0,53.0,-31.0,-1.0,5.0
239,,Ontario,Regional Municipality of Durham,-8.0,-1.0,31.0,-30.0,-4.0,5.0
